UnitCode	Description	ZipCode	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
8037	HPV HIGH RISK WITH GENOTYPE, SP	30067	0	0	0	0	0	0	0	0	0	1	8	15
8037	HPV HIGH RISK WITH GENOTYPE, SP	30093	0	0	0	0	0	0	0	0	0	1	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	30269	0	0	0	0	0	0	0	34	59	65	65	65
8037	HPV HIGH RISK WITH GENOTYPE, SP	30904	0	0	0	0	0	0	0	1	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	30909	0	0	0	0	0	0	0	0	0	0	4	13
8037	HPV HIGH RISK WITH GENOTYPE, SP	32822	0	0	0	0	40	146	88	104	47	32	8	1
8037	HPV HIGH RISK WITH GENOTYPE, SP	33908	0	0	0	0	0	0	0	0	1	2	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	43604	23	28	33	21	30	21	25	32	22	21	23	29
8037	HPV HIGH RISK WITH GENOTYPE, SP	70053	60	54	15	0	0	0	0	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	70775	2	1	1	0	0	0	0	0	1	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	71446	50	77	74	66	83	72	69	79	60	56	46	47
8037	HPV HIGH RISK WITH GENOTYPE, SP	71854	0	0	0	0	0	2	0	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	72734	0	0	0	0	0	1	0	0	0	1	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	72761	3	3	0	0	1	0	2	0	2	2	1	2
8037	HPV HIGH RISK WITH GENOTYPE, SP	73075	1	0	0	0	0	2	0	0	1	2	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	73089	2	1	2	0	0	0	0	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	73112	0	0	0	0	0	0	0	0	0	2	1	1
8037	HPV HIGH RISK WITH GENOTYPE, SP	73120	0	0	0	0	0	0	0	0	0	0	1	1
8037	HPV HIGH RISK WITH GENOTYPE, SP	73160	0	0	1	0	0	0	0	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	73401	28	48	46	33	30	18	50	41	30	25	23	29
8037	HPV HIGH RISK WITH GENOTYPE, SP	73505	0	0	0	1	0	0	0	0	1	0	1	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	74003	1	1	1	2	0	3	2	1	0	1	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	74008	0	1	0	0	0	0	0	0	1	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	74012	17	21	11	10	12	10	2	13	15	9	7	10
8037	HPV HIGH RISK WITH GENOTYPE, SP	74066	0	2	0	0	0	0	0	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	74106	2	5	3	3	3	0	3	2	3	0	1	4
8037	HPV HIGH RISK WITH GENOTYPE, SP	74127	0	0	1	0	0	0	0	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	74129	1	0	1	0	1	1	1	0	1	1	3	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	74337	0	0	2	1	1	0	2	0	1	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	74849	0	3	1	0	0	0	2	1	2	1	0	1
8037	HPV HIGH RISK WITH GENOTYPE, SP	75001	0	2	2	0	3	1	4	3	1	1	1	1
8037	HPV HIGH RISK WITH GENOTYPE, SP	75010	33	30	51	19	37	38	55	56	49	43	44	45
8037	HPV HIGH RISK WITH GENOTYPE, SP	75019	16	6	18	18	23	24	13	23	17	21	17	16
8037	HPV HIGH RISK WITH GENOTYPE, SP	75034	89	109	109	87	87	99	77	90	106	105	92	104
8037	HPV HIGH RISK WITH GENOTYPE, SP	75035	0	1	1	0	1	0	0	1	1	0	0	2
8037	HPV HIGH RISK WITH GENOTYPE, SP	75043	2	4	6	1	5	5	1	4	2	2	5	3
8037	HPV HIGH RISK WITH GENOTYPE, SP	75068	0	0	0	0	0	0	0	0	0	0	0	4
8037	HPV HIGH RISK WITH GENOTYPE, SP	75069	0	0	1	0	0	0	0	1	3	2	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75070	1	0	0	1	0	0	0	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75075	0	0	0	0	1	0	0	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75078	2	0	0	1	2	3	2	1	1	0	0	1
8037	HPV HIGH RISK WITH GENOTYPE, SP	75087	7	16	16	19	9	7	7	14	17	34	21	16
8037	HPV HIGH RISK WITH GENOTYPE, SP	75093	0	1	1	1	1	0	0	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75104	0	0	0	0	0	0	1	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75119	0	0	0	0	0	0	0	1	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75150	0	0	0	1	0	0	0	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75165	3	1	2	0	0	0	0	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75215	0	0	0	0	0	0	0	2	3	1	2	2
8037	HPV HIGH RISK WITH GENOTYPE, SP	75218	2	3	0	5	4	6	3	1	3	4	1	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75220	0	0	0	0	0	0	0	0	1	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75229	0	0	0	0	0	0	0	0	0	1	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75230	14	14	25	16	22	16	17	16	13	19	12	16
8037	HPV HIGH RISK WITH GENOTYPE, SP	75232	0	0	0	0	0	0	0	1	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75246	0	0	0	1	0	1	0	0	1	1	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75248	11	19	12	11	4	3	10	8	12	7	9	12
8037	HPV HIGH RISK WITH GENOTYPE, SP	75401	7	0	0	0	0	0	0	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75409	6	2	3	5	2	5	8	3	5	6	10	1
8037	HPV HIGH RISK WITH GENOTYPE, SP	75457	0	0	0	0	1	0	0	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75652	2	0	0	1	0	0	0	0	0	0	0	1
8037	HPV HIGH RISK WITH GENOTYPE, SP	75701	1	0	1	0	0	0	1	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75702	0	0	0	0	0	0	0	0	0	0	2	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75766	15	6	1	1	2	1	3	1	1	6	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75904	1	1	6	1	3	3	2	2	0	2	3	3
8037	HPV HIGH RISK WITH GENOTYPE, SP	75961	3	0	0	0	0	0	0	0	0	0	1	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75964	0	0	0	1	0	0	0	1	1	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	75965	2	8	10	5	6	4	11	11	11	8	9	11
8037	HPV HIGH RISK WITH GENOTYPE, SP	76008	0	0	0	1	1	2	1	0	1	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	76012	6	4	4	3	1	1	0	2	1	2	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	76014	0	0	3	2	2	0	1	2	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	76015	34	36	29	42	26	39	28	42	27	41	42	20
8037	HPV HIGH RISK WITH GENOTYPE, SP	76017	52	54	62	38	60	61	26	85	56	52	49	10
8037	HPV HIGH RISK WITH GENOTYPE, SP	76021	2	0	7	4	1	0	0	0	0	0	0	3
8037	HPV HIGH RISK WITH GENOTYPE, SP	76028	0	0	1	3	0	1	1	3	0	0	2	3
8037	HPV HIGH RISK WITH GENOTYPE, SP	76051	2	3	1	6	2	1	3	3	0	0	2	4
8037	HPV HIGH RISK WITH GENOTYPE, SP	76063	0	0	0	0	0	0	0	0	0	2	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	76067	0	0	2	1	0	0	0	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	76086	0	0	0	1	0	0	0	2	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	76092	1	0	1	1	0	0	1	1	1	1	0	1
8037	HPV HIGH RISK WITH GENOTYPE, SP	76104	2	1	4	1	2	0	2	1	1	0	1	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	76111	0	0	0	0	1	0	0	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	76132	0	0	0	0	0	0	0	0	14	16	23	14
8037	HPV HIGH RISK WITH GENOTYPE, SP	76148	0	0	0	2	4	0	0	0	0	0	1	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	76177	0	2	1	0	0	0	0	3	0	2	1	1
8037	HPV HIGH RISK WITH GENOTYPE, SP	76179	4	3	5	6	6	3	12	13	12	9	13	9
8037	HPV HIGH RISK WITH GENOTYPE, SP	76210	0	0	2	0	0	0	0	1	5	2	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	76227	7	6	9	9	3	8	9	9	8	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	76240	0	1	0	0	0	0	0	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	76252	0	2	2	0	0	0	0	0	0	0	0	2
8037	HPV HIGH RISK WITH GENOTYPE, SP	76401	1	0	0	1	0	1	1	1	0	0	0	1
8037	HPV HIGH RISK WITH GENOTYPE, SP	76537	0	3	3	4	4	6	3	6	1	1	4	1
8037	HPV HIGH RISK WITH GENOTYPE, SP	76548	23	6	5	0	1	1	0	0	0	1	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	76549	0	0	0	0	0	0	0	0	0	0	1	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	76567	2	2	1	3	2	0	1	1	1	6	2	4
8037	HPV HIGH RISK WITH GENOTYPE, SP	76645	0	0	0	0	0	0	0	1	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	76701	0	0	0	0	0	3	2	1	2	0	1	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	76710	0	0	0	0	0	0	6	0	1	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	76712	0	0	7	0	3	2	1	2	1	2	2	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	77007	0	0	2	4	0	3	3	0	0	3	4	1
8037	HPV HIGH RISK WITH GENOTYPE, SP	77009	2	0	1	0	0	0	1	0	0	0	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	77013	0	0	1	3	2	0	0	0	0	2	0	0
8037	HPV HIGH RISK WITH GENOTYPE, SP	77014	0	0	0	2	3	4	2	1	3	7	14	7
8037	HPV HIGH RISK WITH GENOTYPE, SP	77018	41	23	10	5	16	22	30	32	5	5	3	3
8037	HPV HIGH RISK WITH GENOTYPE, SP	77019	0	0	1	0	0	0	0	0	0	1	0	0
